slab_name,slab_file,millers
MoB_(100)_sheet,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/MoB_(100)_sheet.traj,"(1, 0, 0)"
MoB_(111)_sheet,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/MoB_(111)_sheet.traj,"(1, 1, 1)"
Ni_Ti3C2O2_interface_(100)_cluster2Ag,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(100)_cluster2Ag.traj,"(1, 0, 0)"
Ni_Ti3C2O2_interface_(100)_cluster2Au,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(100)_cluster2Au.traj,"(1, 0, 0)"
Ni_Ti3C2O2_interface_(100)_cluster2Ir,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(100)_cluster2Ir.traj,"(1, 0, 0)"
Ni_Ti3C2O2_interface_(100)_cluster2Pd,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(100)_cluster2Pd.traj,"(1, 0, 0)"
Ni_Ti3C2O2_interface_(100)_cluster2Pt,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(100)_cluster2Pt.traj,"(1, 0, 0)"
Ni_Ti3C2O2_interface_(100)_cluster4Ag,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(100)_cluster4Ag.traj,"(1, 0, 0)"
Ni_Ti3C2O2_interface_(100)_cluster4Au,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(100)_cluster4Au.traj,"(1, 0, 0)"
Ni_Ti3C2O2_interface_(100)_cluster4Ir,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(100)_cluster4Ir.traj,"(1, 0, 0)"
Ni_Ti3C2O2_interface_(100)_cluster4Pd,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(100)_cluster4Pd.traj,"(1, 0, 0)"
Ni_Ti3C2O2_interface_(100)_cluster4Pt,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(100)_cluster4Pt.traj,"(1, 0, 0)"
Ni_Ti3C2O2_interface_(111),/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(111).traj,"(1, 1, 1)"
Ni_Ti3C2O2_interface_(111)_cluster2Ag,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(111)_cluster2Ag.traj,"(1, 1, 1)"
Ni_Ti3C2O2_interface_(111)_cluster2Au,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(111)_cluster2Au.traj,"(1, 1, 1)"
Ni_Ti3C2O2_interface_(111)_cluster2Ir,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(111)_cluster2Ir.traj,"(1, 1, 1)"
Ni_Ti3C2O2_interface_(111)_cluster2Pd,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(111)_cluster2Pd.traj,"(1, 1, 1)"
Ni_Ti3C2O2_interface_(111)_cluster2Pt,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(111)_cluster2Pt.traj,"(1, 1, 1)"
Ni_Ti3C2O2_interface_(111)_cluster4Ag,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(111)_cluster4Ag.traj,"(1, 1, 1)"
Ni_Ti3C2O2_interface_(111)_cluster4Au,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(111)_cluster4Au.traj,"(1, 1, 1)"
Ni_Ti3C2O2_interface_(111)_cluster4Ir,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(111)_cluster4Ir.traj,"(1, 1, 1)"
Ni_Ti3C2O2_interface_(111)_cluster4Pd,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(111)_cluster4Pd.traj,"(1, 1, 1)"
Ni_Ti3C2O2_interface_(111)_cluster4Pt,/home/michal-skalican/Projects/Katalyza/mo-h-adsorption-gpaw/data/uma_relaxed/Ni_Ti3C2O2_interface_(111)_cluster4Pt.traj,"(1, 1, 1)"
