formula,surface_facet,adsorbate,E_clean_slab_eV,E_slab_with_h_eV,E_h2_eV,ΔGH_eV,descriptor_eV,source,status,timestamp
Mo2N,(100),H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-16T08:36:11.872833
Mo2N,(100)_dopAg,H,-69.0776990729852,-71.38442669808504,-6.438412987227499,0.9124788685139107,0.9124788685139107,GPAW_LDA,completed,2026-02-16T08:57:58.067421
Mo2N,(100)_dopAu,H,-69.34837263677494,-71.65923756675186,-6.438412987227499,0.9083415636368342,0.9083415636368342,GPAW_LDA,completed,2026-02-16T10:57:47.485297
Mo2N,(100)_dopIr,H,-73.84210182193044,-76.42207511041913,-6.438412987227499,0.6392332051250618,0.6392332051250618,GPAW_LDA,completed,2026-02-16T12:40:05.736860
Mo2N,(100)_dopNi,H,-72.02605828155177,-74.37409706655093,-6.438412987227499,0.8711677086145881,0.8711677086145881,GPAW_LDA,completed,2026-02-16T14:22:37.954259
Mo2N,(100)_dopPd,H,-70.08548513222877,-72.34893568189625,-6.438412987227499,0.9557559439462677,0.9557559439462677,GPAW_LDA,completed,2026-02-16T16:21:42.494928
Mo2N,(100)_dopPt,H,-72.09054599687806,-74.47834739283326,-6.438412987227499,0.8314050976585561,0.8314050976585561,GPAW_LDA,completed,2026-02-16T18:16:37.771111
Mo2N,(100)_dopRu,H,-73.8975538206442,-76.5216155866761,-6.438412987227499,0.5951447275818493,0.5951447275818493,GPAW_LDA,completed,2026-02-16T20:09:53.494263
Mo2N,(100)_vacMo,H,-65.37633059109932,-66.976161421162,-6.438412987227499,1.6193756635510637,1.6193756635510637,GPAW_LDA,completed,2026-02-16T21:58:18.631571
Mo2N,(100)_vacN,H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-16T23:18:43.895337
Mo2N,(110),H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-17T00:35:22.582819
Mo2N,(110)_dopAg,H,-69.0776990729852,-71.38442669808504,-6.438412987227499,0.9124788685139107,0.9124788685139107,GPAW_LDA,completed,2026-02-17T01:52:25.381205
Mo2N,(110)_dopAu,H,-69.34837263677494,-71.65923756675186,-6.438412987227499,0.9083415636368342,0.9083415636368342,GPAW_LDA,completed,2026-02-17T03:51:57.418086
Mo2N,(110)_dopIr,H,-73.84210182193044,-76.42207511041913,-6.438412987227499,0.6392332051250618,0.6392332051250618,GPAW_LDA,completed,2026-02-17T05:32:45.078147
Mo2N,(110)_dopNi,H,-72.02605828155177,-74.37409706655093,-6.438412987227499,0.8711677086145881,0.8711677086145881,GPAW_LDA,completed,2026-02-17T07:16:55.462519
Mo2N,(110)_dopPd,H,-70.08548513222877,-72.34893568189625,-6.438412987227499,0.9557559439462677,0.9557559439462677,GPAW_LDA,completed,2026-02-17T09:17:03.467585
Mo2N,(110)_dopPt,H,-72.09054599687806,-74.47834739283326,-6.438412987227499,0.8314050976585561,0.8314050976585561,GPAW_LDA,completed,2026-02-17T11:15:21.492246
Mo2N,(110)_dopRu,H,-73.8975538206442,-76.5216155866761,-6.438412987227499,0.5951447275818493,0.5951447275818493,GPAW_LDA,completed,2026-02-17T13:09:31.847137
Mo2N,(110)_vacMo,H,-65.37633059109932,-66.976161421162,-6.438412987227499,1.6193756635510637,1.6193756635510637,GPAW_LDA,completed,2026-02-17T14:57:19.624332
Mo2N,(110)_vacN,H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-17T16:16:12.320089
Mo2N,(111),H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-17T17:35:04.024755
Mo2N,(111)_dopAg,H,-69.0776990729852,-71.38442669808504,-6.438412987227499,0.9124788685139107,0.9124788685139107,GPAW_LDA,completed,2026-02-17T18:51:06.626985
Mo2N,(111)_dopAu,H,-69.34837263677494,-71.65923756675186,-6.438412987227499,0.9083415636368342,0.9083415636368342,GPAW_LDA,completed,2026-02-17T20:52:06.145881
Mo2N,(111)_dopIr,H,-73.84210182193044,-76.42207511041913,-6.438412987227499,0.6392332051250618,0.6392332051250618,GPAW_LDA,completed,2026-02-17T22:33:46.489376
Mo2N,(111)_dopNi,H,-72.02605828155177,-74.37409706655093,-6.438412987227499,0.8711677086145881,0.8711677086145881,GPAW_LDA,completed,2026-02-18T00:19:11.659171
Mo2N,(111)_dopPd,H,-70.08548513222877,-72.34893568189625,-6.438412987227499,0.9557559439462677,0.9557559439462677,GPAW_LDA,completed,2026-02-18T02:18:27.659063
Mo2N,(111)_dopPt,H,-72.09054599687806,-74.47834739283326,-6.438412987227499,0.8314050976585561,0.8314050976585561,GPAW_LDA,completed,2026-02-18T04:15:38.010925
Mo2N,(111)_dopRu,H,-73.8975538206442,-76.5216155866761,-6.438412987227499,0.5951447275818493,0.5951447275818493,GPAW_LDA,completed,2026-02-18T06:06:44.780852
Mo2N,(111)_vacMo,H,-65.37633059109932,-66.976161421162,-6.438412987227499,1.6193756635510637,1.6193756635510637,GPAW_LDA,completed,2026-02-18T07:54:58.628611
Mo2N,(111)_vacN,H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-18T09:12:46.069184
MoP,(100),H,-54.95167178883216,-57.46990575618905,-6.438412987227499,0.7009725262568578,0.7009725262568578,GPAW_LDA,completed,2026-02-18T10:29:09.364684
MoP,(110),H,-54.95167178883216,-57.46990575618905,-6.438412987227499,0.7009725262568578,0.7009725262568578,GPAW_LDA,completed,2026-02-18T10:40:27.009326
MoP,(111),H,-54.95167178883216,-57.46990575618905,-6.438412987227499,0.7009725262568578,0.7009725262568578,GPAW_LDA,completed,2026-02-18T10:51:51.915072
MoS2,(100),H,-89.5345049758144,-90.92508891798404,-6.438412987227499,1.8286225514441083,1.8286225514441083,GPAW_LDA,completed,2026-02-18T11:02:52.964689
MoS2,(100)_sheet,H,-358.0942678059709,-359.49685734626286,-6.438412987227499,1.8166169533217937,1.8166169533217937,GPAW_LDA,completed,2026-02-18T11:36:49.277112
MoS2,(100)_vac2S,H,-76.48097716957936,-77.65792225990758,-6.438412987227499,2.042261403285532,2.042261403285532,GPAW_LDA,completed,2026-02-18T16:43:26.605249
MoS2,(100)_vacS,H,-83.1712575484978,-84.30564777938487,-6.438412987227499,2.0848162627266857,2.0848162627266857,GPAW_LDA,completed,2026-02-18T17:22:04.265668
MoS2,(110),H,-89.5345049758144,-90.92508891798404,-6.438412987227499,1.8286225514441083,1.8286225514441083,GPAW_LDA,completed,2026-02-18T18:03:56.854435
MoS2,(110)_sheet,H,-358.0942678059709,-359.49685734626286,-6.438412987227499,1.8166169533217937,1.8166169533217937,GPAW_LDA,completed,2026-02-18T18:37:41.603900
